107	29	1
131	20	1
123	99	1
170	67	1
274	267	1
279	159	1
324	20	1
366	342	1
369	342	1
436	330	1
447	101	1
477	107	1
494	87	1
494	366	1
494	342	1
535	522	1
534	522	1
547	529	1
562	537	1
582	562	1
582	537	1
591	559	1
597	566	1
597	507	1
598	522	1
598	534	1
598	535	1
600	537	1
600	582	1
610	524	1
602	522	1
602	534	1
602	535	1
602	598	1
614	535	1
614	569	1
614	602	1
625	540	1
625	614	1
631	629	1
632	525	1
632	547	1
635	525	1
635	632	1
630	566	1
630	507	1
630	597	1
630	598	1
620	590	1
637	522	1
637	535	1
637	602	1
637	614	1
641	613	1
646	614	1
652	649	1
644	537	1
644	591	1
654	534	1
654	535	1
654	646	1
654	602	1
654	614	1
654	625	1
654	637	1
665	525	1
665	529	1
665	547	1
665	632	1
665	635	1
663	590	1
672	535	1
672	637	1
672	654	1
688	632	1
688	665	1
693	542	1
693	564	1
694	693	1
694	632	1
697	587	1
697	658	1
702	559	1
702	613	1
702	641	1
704	632	1
704	635	1
704	665	1
703	522	1
703	534	1
703	535	1
703	602	1
703	598	1
703	654	1
717	527	1
717	559	1
717	591	1
717	641	1
717	702	1
719	538	1
720	553	1
729	648	1
729	564	1
729	693	1
726	688	1
731	582	1
737	668	1
741	525	1
741	632	1
741	635	1
741	665	1
741	688	1
741	704	1
744	535	1
744	614	1
744	637	1
735	625	1
758	756	1
758	613	1
758	614	1
758	641	1
758	654	1
758	702	1
755	535	1
755	566	1
755	637	1
771	652	1
771	649	1
771	650	1
767	567	1
773	652	1
773	649	1
772	718	1
780	535	1
780	718	1
778	597	1
778	717	1
787	564	1
787	696	1
793	771	1
793	553	1
793	649	1
793	650	1
793	668	1
793	682	1
784	522	1
784	535	1
784	602	1
784	637	1
784	654	1
784	672	1
784	744	1
784	755	1
795	771	1
795	652	1
795	793	1
795	649	1
795	668	1
795	737	1
800	795	1
797	540	1
797	614	1
797	625	1
797	703	1
797	744	1
807	758	1
807	654	1
803	537	1
803	644	1
803	582	1
803	600	1
803	614	1
803	637	1
803	702	1
803	731	1
803	744	1
803	780	1
810	621	1
810	632	1
810	741	1
810	665	1
810	688	1
810	704	1
808	613	1
808	717	1
817	534	1
817	597	1
817	637	1
817	654	1
817	672	1
817	703	1
817	744	1
817	755	1
805	537	1
805	803	1
805	644	1
805	582	1
814	600	1
823	585	1
824	512	1
820	559	1
820	591	1
835	550	1
837	711	1
840	613	1
840	654	1
840	756	1
840	758	1
842	810	1
842	622	1
842	632	1
842	741	1
842	665	1
842	688	1
842	704	1
843	576	1
828	805	1
828	663	1
847	682	1
839	573	1
844	522	1
844	535	1
844	602	1
844	614	1
844	637	1
844	654	1
844	744	1
844	755	1
844	784	1
844	803	1
844	817	1
851	583	1
853	758	1
853	613	1
853	807	1
853	840	1
853	702	1
854	702	1
854	717	1
862	590	1
862	828	1
868	649	1
868	650	1
873	863	1
850	644	1
876	773	1
